モノ,カテゴリ,行為
本,それを使用する際，無意識でついやってしまう行為,ページを撫でる
本,それを使用する際，無意識でついやってしまう行為,本を上下逆にする
本,それを使用する際，無意識でついやってしまう行為,本を片手で持つ
本,それを使用する際，無意識でついやってしまう行為,頭をかく
本,それを使用する際，無意識でついやってしまう行為,本の匂いを嗅ぐ
本,それを使用する際，無意識でついやってしまう行為,本を指で叩く
本,それを使用する際，無意識でついやってしまう行為,本を手元に引き寄せる
本,それを使用する際にミスや事故で起きる行為,本を落とす
本,それを使用する際にミスや事故で起きる行為,ページを破る
本,それを使用する際にミスや事故で起きる行為,しおりをなくす
本,それを使用する際にミスや事故で起きる行為,本を濡らす
本,それを使用する際にミスや事故で起きる行為,本を汚す
本,それを使用する際にミスや事故で起きる行為,ページを折る
本,それを使用する際にミスや事故で起きる行為,ページが引っかかる
本,それを使用する際にミスや事故で起きる行為,本を破る
本,それを使用する際にミスや事故で起きる行為,誤って本を閉じる
本,それを使用する際にミスや事故で起きる行為,ページを抜かす
本,それを使用する際にミスや事故で起きる行為,本が開かない
本,それを使用する際にミスや事故で起きる行為,指を切る
本,それを使用する際にミスや事故で起きる行為,本を忘れる
本,それを使用する際にミスや事故で起きる行為,誤って線を引く
本,それを使用する際にミスや事故で起きる行為,付箋をなくす
本,それを使用する際にミスや事故で起きる行為,本を踏む
本,それを使用する際にミスや事故で起きる行為,本を逆さまに読む
本,それを使用する際にミスや事故で起きる行為,本を紛失する
本,それを使用する際にミスや事故で起きる行為,本のカバーを破る
本,それを使用する際にミスや事故で起きる行為,本が見つからない
本,それを用いて人との関係の中で起こりうる行為,本を貸す
本,それを用いて人との関係の中で起こりうる行為,本を借りる
本,それを用いて人との関係の中で起こりうる行為,本を共有する
本,それを用いて人との関係の中で起こりうる行為,本について話す
本,それを用いて人との関係の中で起こりうる行為,本を推薦する
本,それを用いて人との関係の中で起こりうる行為,本を贈る
本,それを用いて人との関係の中で起こりうる行為,本を返す
本,それを用いて人との関係の中で起こりうる行為,一緒に読む
本,それを用いて人との関係の中で起こりうる行為,読書会をする
本,それを用いて人との関係の中で起こりうる行為,感想を交換する
本,それを用いて人との関係の中で起こりうる行為,本を見せる
本,それを用いて人との関係の中で起こりうる行為,本を取り合う
本,それを用いて人との関係の中で起こりうる行為,本について議論する
本,それを用いて人との関係の中で起こりうる行為,本を読む時間を作る
本,それを用いて人との関係の中で起こりうる行為,本をプレゼントする
本,それを用いて人との関係の中で起こりうる行為,本を交換する
本,それを用いて人との関係の中で起こりうる行為,本を置き忘れる
本,それを用いて人との関係の中で起こりうる行為,本を探し合う
本,それを用いて人との関係の中で起こりうる行為,本を手渡す
本,それを用いて人との関係の中で起こりうる行為,本を分け合う
電子書籍,使用する際の一連の行為,デバイスを手に取る
電子書籍,使用する際の一連の行為,電源を入れる
電子書籍,使用する際の一連の行為,アプリを開く
電子書籍,使用する際の一連の行為,電子書籍を選ぶ
電子書籍,使用する際の一連の行為,ページをスワイプする
電子書籍,使用する際の一連の行為,しおりを挿入する
電子書籍,使用する際の一連の行為,読むための姿勢をとる
電子書籍,使用する際の一連の行為,画面の明るさを調整する
電子書籍,使用する際の一連の行為,フォントサイズを変更する
電子書籍,使用する際の一連の行為,辞書機能を使う
電子書籍,使用する際の一連の行為,メモを追加する
電子書籍,使用する際の一連の行為,ハイライトを引く
電子書籍,使用する際の一連の行為,ページをブックマークする
電子書籍,使用する際の一連の行為,再度開く
電子書籍,使用する際の一連の行為,ノートを取る
電子書籍,使用する際の一連の行為,画面をスクロールする
電子書籍,使用する際の一連の行為,一時停止する
電子書籍,使用する際の一連の行為,他のアプリを開く
電子書籍,使用する際の一連の行為,デバイスを充電する
電子書籍,使用する際の一連の行為,デバイスをシャットダウンする
電子書籍,それと他のモノを使って行う行為,読書灯で照らす
電子書籍,それと他のモノを使って行う行為,眼鏡をかける
電子書籍,それと他のモノを使って行う行為,コーヒーを飲む
電子書籍,それと他のモノを使って行う行為,音楽を聴く
電子書籍,それと他のモノを使って行う行為,ブランケットをかける
電子書籍,それと他のモノを使って行う行為,椅子に座る
電子書籍,それと他のモノを使って行う行為,ソファでくつろぐ
電子書籍,それと他のモノを使って行う行為,メモ帳にメモを取る
電子書籍,それと他のモノを使って行う行為,ペンを使ってノートを取る
電子書籍,それと他のモノを使って行う行為,スマホで調べ物をする
電子書籍,それと他のモノを使って行う行為,タブレットで関連情報を読む
電子書籍,それと他のモノを使って行う行為,時計を確認する
電子書籍,それと他のモノを使って行う行為,スナックを食べる
電子書籍,それと他のモノを使って行う行為,デバイスカバーをかける
電子書籍,それと他のモノを使って行う行為,デバイススタンドを使用する
電子書籍,それと他のモノを使って行う行為,しおりを挿入する
電子書籍,それと他のモノを使って行う行為,枕を使って寝転がる
電子書籍,それと他のモノを使って行う行為,ブックライトを使う
電子書籍,それと他のモノを使って行う行為,カーテンを閉める
電子書籍,それと他のモノを使って行う行為,イヤホンを使う
電子書籍,それを使用する目的以外で遊びとして行う行為,デバイスを積み上げてタワーを作る
電子書籍,それを使用する目的以外で遊びとして行う行為,デバイスでドミノをする
電子書籍,それを使用する目的以外で遊びとして行う行為,スクリーンショットを撮る
電子書籍,それを使用する目的以外で遊びとして行う行為,デバイスを隠す
電子書籍,それを使用する目的以外で遊びとして行う行為,デバイスを開いて隠れる
電子書籍,それを使用する目的以外で遊びとして行う行為,デバイスで積み木をする
電子書籍,それを使用する目的以外で遊びとして行う行為,画面に絵を描く
電子書籍,それを使用する目的以外で遊びとして行う行為,デバイスを使って仮面を作る
電子書籍,それを使用する目的以外で遊びとして行う行為,デバイスを並べて道を作る
電子書籍,それを使用する目的以外で遊びとして行う行為,デバイスで家を作る
電子書籍,それを使用する目的以外で遊びとして行う行為,デバイスを飛ばしてキャッチする
電子書籍,それを使用する目的以外で遊びとして行う行為,デバイスでバランスゲームをする
電子書籍,それを使用する目的以外で遊びとして行う行為,デバイスに小物を隠す
電子書籍,それを使用する目的以外で遊びとして行う行為,デバイスを投げて距離を競う
電子書籍,それを使用する目的以外で遊びとして行う行為,デバイスを積み上げて競う
電子書籍,それを使用する目的以外で遊びとして行う行為,デバイスでトンネルを作る
電子書籍,それを使用する目的以外で遊びとして行う行為,デバイスに手紙を隠す
電子書籍,それを使用する目的以外で遊びとして行う行為,デバイスを重ねて高さを競う
電子書籍,それを使用する目的以外で遊びとして行う行為,デバイスで迷路を作る
電子書籍,それを使用する目的以外で遊びとして行う行為,デバイスで風を送る
電子書籍,それを使用する際，無意識でついやってしまう行為,ページをスワイプする
電子書籍,それを使用する際，無意識でついやってしまう行為,画面をタップする
電子書籍,それを使用する際，無意識でついやってしまう行為,デバイスを持ち上げる
電子書籍,それを使用する際，無意識でついやってしまう行為,デバイスを傾ける
電子書籍,それを使用する際，無意識でついやってしまう行為,ページを閉じる
電子書籍,それを使用する際，無意識でついやってしまう行為,読む速度を変える
電子書籍,それを使用する際，無意識でついやってしまう行為,目をこする
電子書籍,それを使用する際，無意識でついやってしまう行為,読んでいる場所を見失う
電子書籍,それを使用する際，無意識でついやってしまう行為,しおりを挿入する
電子書籍,それを使用する際，無意識でついやってしまう行為,デバイスを机に置く
電子書籍,それを使用する際，無意識でついやってしまう行為,デバイスを膝の上に置く
電子書籍,それを使用する際，無意識でついやってしまう行為,デバイスを開いたまま置く
電子書籍,それを使用する際，無意識でついやってしまう行為,画面を撫でる
電子書籍,それを使用する際，無意識でついやってしまう行為,デバイスを上下逆にする
電子書籍,それを使用する際，無意識でついやってしまう行為,デバイスを片手で持つ
電子書籍,それを使用する際，無意識でついやってしまう行為,頭をかく
電子書籍,それを使用する際，無意識でついやってしまう行為,画面の匂いを嗅ぐ
電子書籍,それを使用する際，無意識でついやってしまう行為,デバイスを指で叩く
電子書籍,それを使用する際，無意識でついやってしまう行為,デバイスを手元に引き寄せる
電子書籍,それを使用する際にミスや事故で起きる行為,デバイスを落とす
電子書籍,それを使用する際にミスや事故で起きる行為,画面を割る
電子書籍,それを使用する際にミスや事故で起きる行為,しおりをなくす
電子書籍,それを使用する際にミスや事故で起きる行為,デバイスを濡らす
電子書籍,それを使用する際にミスや事故で起きる行為,デバイスを汚す
電子書籍,それを使用する際にミスや事故で起きる行為,デバイスが反応しない
電子書籍,それを使用する際にミスや事故で起きる行為,画面が引っかかる
電子書籍,それを使用する際にミスや事故で起きる行為,誤ってデバイスを閉じる
電子書籍,それを使用する際にミスや事故で起きる行為,ページを抜かす
電子書籍,それを使用する際にミスや事故で起きる行為,デバイスが開かない
電子書籍,それを使用する際にミスや事故で起きる行為,指を切る
電子書籍,それを使用する際にミスや事故で起きる行為,デバイスを忘れる
電子書籍,それを使用する際にミスや事故で起きる行為,誤って操作する
電子書籍,それを使用する際にミスや事故で起きる行為,付箋をなくす
電子書籍,それを使用する際にミスや事故で起きる行為,デバイスを踏む
電子書籍,それを使用する際にミスや事故で起きる行為,デバイスを逆さまに読む
電子書籍,それを使用する際にミスや事故で起きる行為,デバイスを紛失する
電子書籍,それを使用する際にミスや事故で起きる行為,カバーを破る
電子書籍,それを使用する際にミスや事故で起きる行為,デバイスが見つからない
電子書籍,それを使用する際にミスや事故で起きる行為,デバイスが壊れる
電子書籍,それを用いて人との関係の中で起こりうる行為,デバイスを貸す
電子書籍,それを用いて人との関係の中で起こりうる行為,デバイスを借りる
電子書籍,それを用いて人との関係の中で起こりうる行為,デバイスを共有する
電子書籍,それを用いて人との関係の中で起こりうる行為,電子書籍について話す
電子書籍,それを用いて人との関係の中で起こりうる行為,電子書籍を推薦する
電子書籍,それを用いて人との関係の中で起こりうる行為,電子書籍を贈る
電子書籍,それを用いて人との関係の中で起こりうる行為,電子書籍を返す
電子書籍,それを用いて人との関係の中で起こりうる行為,一緒に読む
電子書籍,それを用いて人との関係の中で起こりうる行為,読書会をする
電子書籍,それを用いて人との関係の中で起こりうる行為,感想を交換する
電子書籍,それを用いて人との関係の中で起こりうる行為,電子書籍を見せる
電子書籍,それを用いて人との関係の中で起こりうる行為,デバイスを取り合う
電子書籍,それを用いて人との関係の中で起こりうる行為,電子書籍について議論する
電子書籍,それを用いて人との関係の中で起こりうる行為,電子書籍を読む時間を作る
電子書籍,それを用いて人との関係の中で起こりうる行為,電子書籍をプレゼントする
電子書籍,それを用いて人との関係の中で起こりうる行為,電子書籍を交換する
電子書籍,それを用いて人との関係の中で起こりうる行為,デバイスを置き忘れる
電子書籍,それを用いて人との関係の中で起こりうる行為,デバイスを探し合う
電子書籍,それを用いて人との関係の中で起こりうる行為,デバイスを手渡す
電子書籍,それを用いて人との関係の中で起こりうる行為,デバイスを分け合う
紙の地図,使用する際の一連の行為,地図を広げる
紙の地図,使用する際の一連の行為,現在地を確認する
紙の地図,使用する際の一連の行為,目的地を探す
紙の地図,使用する際の一連の行為,ルートを確認する
紙の地図,使用する際の一連の行為,ペンでルートを描く
紙の地図,使用する際の一連の行為,折り目をつける
紙の地図,使用する際の一連の行為,地図を折りたたむ
紙の地図,使用する際の一連の行為,ポケットに入れる
紙の地図,使用する際の一連の行為,メモを取る
紙の地図,使用する際の一連の行為,場所の名前を確認する
紙の地図,使用する際の一連の行為,地図の凡例を見る
紙の地図,使用する際の一連の行為,方角を確認する
紙の地図,使用する際の一連の行為,周囲の地形を見る
紙の地図,使用する際の一連の行為,交通手段を考える
紙の地図,使用する際の一連の行為,地図を回転させる
紙の地図,使用する際の一連の行為,ルートを覚える
紙の地図,使用する際の一連の行為,標高を確認する
紙の地図,使用する際の一連の行為,距離を測る
紙の地図,使用する際の一連の行為,地図を見直す
紙の地図,使用する際の一連の行為,地図を保存する
紙の地図,それと他のモノを使って行う行為,コンパスを使う
紙の地図,それと他のモノを使って行う行為,ペンでメモを取る
紙の地図,それと他のモノを使って行う行為,ノートに転記する
紙の地図,それと他のモノを使って行う行為,スマホで現在地を確認する
紙の地図,それと他のモノを使って行う行為,カメラで写真を撮る
紙の地図,それと他のモノを使って行う行為,ルーペで細部を見る
紙の地図,それと他のモノを使って行う行為,GPSデバイスと併用する
紙の地図,それと他のモノを使って行う行為,ライトを使って照らす
紙の地図,それと他のモノを使って行う行為,双眼鏡で遠くを見る
紙の地図,それと他のモノを使って行う行為,メガネをかける
紙の地図,それと他のモノを使って行う行為,傘を使う
紙の地図,それと他のモノを使って行う行為,飲み物を飲む
紙の地図,それと他のモノを使って行う行為,リュックにしまう
紙の地図,それと他のモノを使って行う行為,手袋をはめる
紙の地図,それと他のモノを使って行う行為,マーカーで印をつける
紙の地図,それと他のモノを使って行う行為,ノートPCで調べ物をする
紙の地図,それと他のモノを使って行う行為,座って確認する
紙の地図,それと他のモノを使って行う行為,テーブルに広げる
紙の地図,それと他のモノを使って行う行為,他の地図と比較する
紙の地図,それと他のモノを使って行う行為,タブレットで情報を調べる
紙の地図,それを使用する目的以外で遊びとして行う行為,紙飛行機を作る
紙の地図,それを使用する目的以外で遊びとして行う行為,折り紙をする
紙の地図,それを使用する目的以外で遊びとして行う行為,地図でドミノをする
紙の地図,それを使用する目的以外で遊びとして行う行為,地図を使って宝探しゲームをする
紙の地図,それを使用する目的以外で遊びとして行う行為,地図を塗り絵にする
紙の地図,それを使用する目的以外で遊びとして行う行為,地図をパズルにする
紙の地図,それを使用する目的以外で遊びとして行う行為,地図を使ってかくれんぼをする
紙の地図,それを使用する目的以外で遊びとして行う行為,地図をマントにする
紙の地図,それを使用する目的以外で遊びとして行う行為,地図を切り抜いてコラージュを作る
紙の地図,それを使用する目的以外で遊びとして行う行為,地図を使って帽子を作る
紙の地図,それを使用する目的以外で遊びとして行う行為,地図で船を作る
紙の地図,それを使用する目的以外で遊びとして行う行為,地図で風車を作る
紙の地図,それを使用する目的以外で遊びとして行う行為,地図で仮面を作る
紙の地図,それを使用する目的以外で遊びとして行う行為,地図でオリガミの動物を作る
紙の地図,それを使用する目的以外で遊びとして行う行為,地図を丸めて棒にする
紙の地図,それを使用する目的以外で遊びとして行う行為,地図を使って紙相撲をする
紙の地図,それを使用する目的以外で遊びとして行う行為,地図を使って迷路を作る
紙の地図,それを使用する目的以外で遊びとして行う行為,地図で壁飾りを作る
紙の地図,それを使用する目的以外で遊びとして行う行為,地図を使って道を作る
紙の地図,それを使用する目的以外で遊びとして行う行為,地図を貼り合わせて大きな地図を作る
紙の地図,それを使用する際，無意識でついやってしまう行為,地図を折りたたむ
紙の地図,それを使用する際，無意識でついやってしまう行為,地図を広げる
紙の地図,それを使用する際，無意識でついやってしまう行為,地図を回転させる
紙の地図,それを使用する際，無意識でついやってしまう行為,現在地を探す
紙の地図,それを使用する際，無意識でついやってしまう行為,目的地を探す
紙の地図,それを使用する際，無意識でついやってしまう行為,地図を持ち上げる
紙の地図,それを使用する際，無意識でついやってしまう行為,地図を見失う
紙の地図,それを使用する際，無意識でついやってしまう行為,地図を落とす
紙の地図,それを使用する際，無意識でついやってしまう行為,ページをめくるように扱う
紙の地図,それを使用する際，無意識でついやってしまう行為,指で地図を指す
紙の地図,それを使用する際，無意識でついやってしまう行為,地図を撫でる
紙の地図,それを使用する際，無意識でついやってしまう行為,地図を手元に引き寄せる
紙の地図,それを使用する際，無意識でついやってしまう行為,地図をたたむ
紙の地図,それを使用する際，無意識でついやってしまう行為,地図を振る
紙の地図,それを使用する際，無意識でついやってしまう行為,地図の端を折る
紙の地図,それを使用する際，無意識でついやってしまう行為,地図を握りしめる
紙の地図,それを使用する際，無意識でついやってしまう行為,地図の匂いを嗅ぐ
紙の地図,それを使用する際，無意識でついやってしまう行為,地図を丸める
紙の地図,それを使用する際，無意識でついやってしまう行為,地図を置き忘れる
紙の地図,それを使用する際，無意識でついやってしまう行為,地図を見つける
紙の地図,それを使用する際にミスや事故で起きる行為,地図を破る
紙の地図,それを使用する際にミスや事故で起きる行為,地図を濡らす
紙の地図,それを使用する際にミスや事故で起きる行為,地図を汚す
紙の地図,それを使用する際にミスや事故で起きる行為,地図を風で飛ばされる
紙の地図,それを使用する際にミスや事故で起きる行為,地図を見失う
紙の地図,それを使用する際にミスや事故で起きる行為,地図を折り間違える
紙の地図,それを使用する際にミスや事故で起きる行為,地図をなくす
紙の地図,それを使用する際にミスや事故で起きる行為,地図を踏む
紙の地図,それを使用する際にミスや事故で起きる行為,地図を間違って描く
紙の地図,それを使用する際にミスや事故で起きる行為,地図を誤って破る
紙の地図,それを使用する際にミスや事故で起きる行為,地図を落とす
紙の地図,それを使用する際にミスや事故で起きる行為,地図が反対になる
紙の地図,それを使用する際にミスや事故で起きる行為,地図を引っ掛ける
紙の地図,それを使用する際にミスや事故で起きる行為,地図を破損する
紙の地図,それを使用する際にミスや事故で起きる行為,地図が飛び散る
紙の地図,それを使用する際にミスや事故で起きる行為,地図を忘れる
紙の地図,それを使用する際にミスや事故で起きる行為,地図を他人に取られる
紙の地図,それを使用する際にミスや事故で起きる行為,地図を置き忘れる
紙の地図,それを使用する際にミスや事故で起きる行為,地図が見つからない
紙の地図,それを使用する際にミスや事故で起きる行為,地図を紛失する
紙の地図,それを用いて人との関係の中で起こりうる行為,地図を共有する
紙の地図,それを用いて人との関係の中で起こりうる行為,地図について話す
紙の地図,それを用いて人との関係の中で起こりうる行為,地図を贈る
紙の地図,それを用いて人との関係の中で起こりうる行為,地図を返す
紙の地図,それを用いて人との関係の中で起こりうる行為,地図を一緒に読む
紙の地図,それを用いて人との関係の中で起こりうる行為,地図を使って議論する
紙の地図,それを用いて人との関係の中で起こりうる行為,地図を貸す
紙の地図,それを用いて人との関係の中で起こりうる行為,地図を借りる
紙の地図,それを用いて人との関係の中で起こりうる行為,地図を見せる
紙の地図,それを用いて人との関係の中で起こりうる行為,地図を取り合う
紙の地図,それを用いて人との関係の中で起こりうる行為,地図を探し合う
紙の地図,それを用いて人との関係の中で起こりうる行為,地図を手渡す
紙の地図,それを用いて人との関係の中で起こりうる行為,地図を交換する
紙の地図,それを用いて人との関係の中で起こりうる行為,地図の場所を教える
紙の地図,それを用いて人との関係の中で起こりうる行為,地図について感想を述べる
紙の地図,それを用いて人との関係の中で起こりうる行為,地図を使って読書会をする
紙の地図,それを用いて人との関係の中で起こりうる行為,地図を紹介する
紙の地図,それを用いて人との関係の中で起こりうる行為,地図を一緒に作る
紙の地図,それを用いて人との関係の中で起こりうる行為,地図を分け合う
紙の地図,それを用いて人との関係の中で起こりうる行為,地図を使って方向を指示する
