モノ,カテゴリ,行為
傘,それを用いて人との関係の中で起こりうる行為,傘をシェアする
傘,それを用いて人との関係の中で起こりうる行為,傘の使い方を教える
傘,それを用いて人との関係の中で起こりうる行為,傘を一緒に持つ
傘,それを用いて人との関係の中で起こりうる行為,傘の購入を相談する
傘,それを用いて人との関係の中で起こりうる行為,傘の特徴を話す
傘,それを用いて人との関係の中で起こりうる行為,傘のデザインを選ぶ
傘,それを用いて人との関係の中で起こりうる行為,傘の修理を手伝う
傘,それを用いて人との関係の中で起こりうる行為,傘の掃除を手伝う
傘,それを用いて人との関係の中で起こりうる行為,傘の保管方法を共有する
傘,それを用いて人との関係の中で起こりうる行為,傘の置き場所を決める
傘,それを用いて人との関係の中で起こりうる行為,傘の交換をする
傘,それを用いて人との関係の中で起こりうる行為,傘のおすすめを紹介する
傘,それを用いて人との関係の中で起こりうる行為,傘の収納を手伝う
傘,それを用いて人との関係の中で起こりうる行為,傘の歴史を調べる
傘,それを用いて人との関係の中で起こりうる行為,傘の展示を手伝う
傘,それを用いて人との関係の中で起こりうる行為,傘の情報を交換する
傘,それを用いて人との関係の中で起こりうる行為,傘をプレゼントする
傘,それを用いて人との関係の中で起こりうる行為,傘を持って迎えに行く
