モノ,単語,原形,品詞,依存関係,親
本,て,て,SCONJ,mark,使っ
本,寝転がる,寝転がる,NOUN,ROOT,寝転がる
本,ブック,ブック,NOUN,compound,ライト
本,ライト,ライト,NOUN,obj,使う
本,を,を,ADP,case,ライト
本,使う,使う,VERB,ROOT,使う
本,カーテン,カーテン,NOUN,obj,閉める
本,を,を,ADP,case,カーテン
本,閉める,閉める,VERB,ROOT,閉める
本,本,本,NOUN,obj,積み上げ
本,を,を,ADP,case,本
本,積み上げ,積み上げる,VERB,advcl,作る
本,て,て,SCONJ,mark,積み上げ
本,タワー,タワー,NOUN,obj,作る
本,を,を,ADP,case,タワー
本,作る,作る,VERB,ROOT,作る
本,本,本,NOUN,obl,する
本,で,で,ADP,case,本
本,ドミノ,ドミノ,NOUN,obj,する
本,を,を,ADP,case,ドミノ
本,する,する,VERB,ROOT,する
本,本,本,NOUN,nmod,ページ
本,の,の,ADP,case,本
本,ページ,ページ,NOUN,obl,する
本,で,で,ADP,case,ページ
本,折り紙,折り紙,NOUN,obj,する
本,を,を,ADP,case,折り紙
本,する,する,VERB,ROOT,する
本,本,本,NOUN,nmod,中
本,の,の,ADP,case,本
本,中,中,NOUN,obl,隠す
本,に,に,ADP,case,中
本,メッセージ,メッセージ,NOUN,obj,隠す
本,を,を,ADP,case,メッセージ
本,隠す,隠す,VERB,ROOT,隠す
本,本,本,NOUN,obj,開い
本,を,を,ADP,case,本
本,開い,開く,VERB,advcl,隠れる
本,て,て,SCONJ,mark,開い
本,隠れる,隠れる,VERB,ROOT,隠れる
本,本,本,NOUN,obj,使っ
本,を,を,ADP,case,本
本,使っ,使う,VERB,advcl,する
本,て,て,SCONJ,mark,使っ
本,積み木,積み木,NOUN,obj,する
本,を,を,ADP,case,積み木
本,する,する,VERB,ROOT,する
本,本,本,NOUN,nmod,ページ
本,の,の,ADP,case,本
本,ページ,ページ,NOUN,obl,描く
本,に,に,ADP,case,ページ
本,絵,絵,NOUN,obj,描く
本,を,を,ADP,case,絵
本,描く,描く,VERB,ROOT,描く
本,本,本,NOUN,obj,使っ
本,を,を,ADP,case,本
本,使っ,使う,VERB,advcl,作る
本,て,て,SCONJ,mark,使っ
本,仮面,仮面,NOUN,obj,作る
本,を,を,ADP,case,仮面
本,作る,作る,VERB,ROOT,作る
本,本,本,NOUN,obj,並べ
本,を,を,ADP,case,本
本,並べ,並べる,VERB,advcl,作る
本,て,て,SCONJ,mark,並べ
本,道,道,NOUN,obj,作る
本,を,を,ADP,case,道
本,作る,作る,VERB,ROOT,作る
本,本,本,NOUN,obj,使っ
本,を,を,ADP,case,本
本,使っ,使う,VERB,advcl,作る
本,て,て,SCONJ,mark,使っ
本,家,家,NOUN,obj,作る
本,を,を,ADP,case,家
本,作る,作る,VERB,ROOT,作る
本,本,本,NOUN,obj,飛ばし
本,を,を,ADP,case,本
本,飛ばし,飛ばす,VERB,advcl,キャッチ
本,て,て,SCONJ,mark,飛ばし
本,キャッチ,キャッチ,VERB,ROOT,キャッチ
本,する,する,AUX,aux,キャッチ
本,本,本,NOUN,obl,する
本,で,で,ADP,case,本
本,バランス,バランス,VERB,compound,ゲーム
本,ゲーム,ゲーム,NOUN,obj,する
本,を,を,ADP,case,ゲーム
本,する,する,VERB,ROOT,する
本,本,本,NOUN,nmod,中
本,の,の,ADP,case,本
本,中,中,NOUN,obl,隠す
本,に,に,ADP,case,中
本,小物,小物,NOUN,obj,隠す
本,を,を,ADP,case,小物
本,隠す,隠す,VERB,ROOT,隠す
本,本,本,NOUN,obj,投げ
本,を,を,ADP,case,本
本,投げ,投げる,VERB,advcl,競う
本,て,て,SCONJ,mark,投げ
本,距離,距離,NOUN,obj,競う
本,を,を,ADP,case,距離
本,競う,競う,VERB,ROOT,競う
本,本,本,NOUN,obj,積み上げ
本,を,を,ADP,case,本
本,積み上げ,積み上げる,VERB,ROOT,積み上げ
本,て,て,SCONJ,mark,積み上げ
本,競う,競う,VERB,fixed,て
本,本,本,NOUN,obl,作る
本,で,で,ADP,case,本
本,トンネル,トンネル,NOUN,obj,作る
本,を,を,ADP,case,トンネル
本,作る,作る,VERB,ROOT,作る
本,本,本,NOUN,nmod,中
本,の,の,ADP,case,本
本,中,中,NOUN,obl,隠す
本,に,に,ADP,case,中
本,手紙,手紙,NOUN,obj,隠す
本,を,を,ADP,case,手紙
本,隠す,隠す,VERB,ROOT,隠す
本,本,本,NOUN,obj,重ね
本,を,を,ADP,case,本
本,重ね,重ねる,VERB,advcl,高
本,て,て,SCONJ,mark,重ね
本,高,高い,ADJ,obj,競う
本,さ,さ,PART,mark,高
本,を,を,ADP,case,高
本,競う,競う,VERB,ROOT,競う
本,本,本,NOUN,nmod,ページ
本,の,の,ADP,case,本
本,ページ,ページ,NOUN,obj,使っ
本,を,を,ADP,case,ページ
本,使っ,使う,VERB,advcl,作る
本,て,て,SCONJ,mark,使っ
本,迷路,迷路,NOUN,obj,作る
本,を,を,ADP,case,迷路
本,作る,作る,VERB,ROOT,作る
本,本,本,NOUN,obl,送る
本,で,で,ADP,case,本
本,風,風,NOUN,obj,送る
本,を,を,ADP,case,風
本,送る,送る,VERB,ROOT,送る
本,ページ,ページ,NOUN,obj,めくる
本,を,を,ADP,case,ページ
本,めくる,めくる,ADJ,ROOT,めくる
本,指,指,NOUN,obj,なめる
本,を,を,ADP,case,指
本,なめる,なめる,VERB,ROOT,なめる
本,本,本,NOUN,obj,持ち上げる
本,を,を,ADP,case,本
本,持ち上げる,持ち上げる,VERB,ROOT,持ち上げる
本,本,本,NOUN,obj,傾ける
本,を,を,ADP,case,本
本,傾ける,傾ける,VERB,ROOT,傾ける
本,ページ,ページ,NOUN,nmod,角
本,の,の,ADP,case,ページ
本,角,角,NOUN,obj,折る
本,を,を,ADP,case,角
本,折る,折る,VERB,ROOT,折る
本,本,本,NOUN,obj,閉じる
本,を,を,ADP,case,本
本,閉じる,閉じる,VERB,ROOT,閉じる
本,読む,読む,VERB,acl,速度
本,速度,速度,NOUN,obj,変える
本,を,を,ADP,case,速度
本,変える,変える,VERB,ROOT,変える
本,目,目,NOUN,obj,こする
本,を,を,ADP,case,目
本,こする,こする,VERB,ROOT,こする
本,読ん,読む,VERB,acl,場所
本,で,で,SCONJ,mark,読ん
本,いる,いる,VERB,fixed,で
本,場所,場所,NOUN,obj,見失う
本,を,を,ADP,case,場所
本,見失う,見失う,VERB,ROOT,見失う
本,しおり,しおり,NOUN,obj,挟む
本,を,を,ADP,case,しおり
本,挟む,挟む,VERB,ROOT,挟む
本,本,本,NOUN,obj,置く
本,を,を,ADP,case,本
本,机,机,NOUN,obl,置く
本,に,に,ADP,case,机
本,置く,置く,VERB,ROOT,置く
本,本,本,NOUN,obj,置く
本,を,を,ADP,case,本
本,膝,膝,NOUN,nmod,上
本,の,の,ADP,case,膝
本,上,上,NOUN,obl,置く
本,に,に,ADP,case,上
本,置く,置く,VERB,ROOT,置く
本,本,本,NOUN,obj,開い
本,を,を,ADP,case,本
本,開い,開く,VERB,acl,まま
本,た,た,AUX,aux,開い
本,まま,まま,NOUN,obl,置く
本,置く,置く,VERB,ROOT,置く
本,ページ,ページ,NOUN,obj,撫でる
本,を,を,ADP,case,ページ
本,撫でる,撫でる,VERB,ROOT,撫でる
本,本,本,NOUN,obj,する
本,を,を,ADP,case,本
本,上下,上下,NOUN,compound,逆
本,逆,逆,ADJ,advcl,する
本,に,だ,AUX,aux,逆
本,する,する,VERB,ROOT,する
本,本,本,NOUN,obj,持つ
本,を,を,ADP,case,本
本,片手,片手,NOUN,obl,持つ
本,で,で,ADP,case,片手
本,持つ,持つ,VERB,ROOT,持つ
本,頭,頭,NOUN,obj,かく
本,を,を,ADP,case,頭
本,かく,かく,ADV,ROOT,かく
本,本,本,NOUN,nmod,匂い
本,の,の,ADP,case,本
本,匂い,匂い,NOUN,obj,嗅ぐ
本,を,を,ADP,case,匂い
本,嗅ぐ,嗅ぐ,VERB,ROOT,嗅ぐ
本,本,本,NOUN,obj,叩く
本,を,を,ADP,case,本
本,指,指,NOUN,obl,叩く
本,で,で,ADP,case,指
本,叩く,叩く,VERB,ROOT,叩く
本,本,本,NOUN,obj,引き寄せる
本,を,を,ADP,case,本
本,手元,手元,NOUN,obl,引き寄せる
本,に,に,ADP,case,手元
本,引き寄せる,引き寄せる,VERB,ROOT,引き寄せる
本,本,本,NOUN,obj,落とす
本,を,を,ADP,case,本
本,落とす,落とす,VERB,ROOT,落とす
本,ページ,ページ,NOUN,obj,破る
本,を,を,ADP,case,ページ
本,破る,破る,VERB,ROOT,破る
本,しおり,しおり,NOUN,obj,なくす
本,を,を,ADP,case,しおり
本,なくす,なくす,VERB,ROOT,なくす
本,本,本,NOUN,obj,濡らす
本,を,を,ADP,case,本
本,濡らす,濡らす,VERB,ROOT,濡らす
本,本,本,NOUN,obj,汚す
本,を,を,ADP,case,本
本,汚す,汚す,VERB,ROOT,汚す
本,ページ,ページ,NOUN,obj,折る
本,を,を,ADP,case,ページ
本,折る,折る,VERB,ROOT,折る
本,ページ,ページ,NOUN,nsubj,引っかかる
本,が,が,ADP,case,ページ
本,引っかかる,引っかかる,VERB,ROOT,引っかかる
本,本,本,NOUN,obj,破る
本,を,を,ADP,case,本
本,破る,破る,VERB,ROOT,破る
本,誤っ,誤る,VERB,advcl,閉じる
本,て,て,SCONJ,mark,誤っ
本,本,本,NOUN,obj,閉じる
本,を,を,ADP,case,本
本,閉じる,閉じる,VERB,ROOT,閉じる
本,ページ,ページ,NOUN,obj,抜かす
本,を,を,ADP,case,ページ
本,抜かす,抜かす,VERB,ROOT,抜かす
本,本,本,NOUN,nsubj,開か
本,が,が,ADP,case,本
本,開か,開く,VERB,ROOT,開か
本,ない,ない,AUX,aux,開か
本,指,指,NOUN,obj,切る
本,を,を,ADP,case,指
本,切る,切る,VERB,ROOT,切る
本,本,本,NOUN,obj,忘れる
本,を,を,ADP,case,本
本,忘れる,忘れる,VERB,ROOT,忘れる
本,誤っ,誤る,VERB,advcl,引く
本,て,て,SCONJ,mark,誤っ
本,線,線,NOUN,obj,引く
本,を,を,ADP,case,線
本,引く,引く,VERB,ROOT,引く
本,付箋,付箋,NOUN,obj,なくす
本,を,を,ADP,case,付箋
本,なくす,なくす,VERB,ROOT,なくす
本,本,本,NOUN,obj,踏む
本,を,を,ADP,case,本
本,踏む,踏む,VERB,ROOT,踏む
本,本,本,NOUN,obj,読む
本,を,を,ADP,case,本
本,逆さま,逆さま,VERB,advcl,読む
本,に,だ,AUX,aux,逆さま
本,読む,読む,VERB,ROOT,読む
本,本,本,NOUN,obj,紛失
本,を,を,ADP,case,本
本,紛失,紛失,VERB,ROOT,紛失
本,する,する,AUX,aux,紛失
本,本,本,NOUN,nmod,カバー
本,の,の,ADP,case,本
本,カバー,カバー,NOUN,obj,破る
本,を,を,ADP,case,カバー
本,破る,破る,VERB,ROOT,破る
本,本,本,NOUN,nsubj,見つから
本,が,が,ADP,case,本
本,見つから,見つかる,VERB,ROOT,見つから
本,ない,ない,AUX,aux,見つから
本,本,本,NOUN,obj,貸す
本,を,を,ADP,case,本
本,貸す,貸す,VERB,ROOT,貸す
本,本,本,NOUN,obj,借りる
本,を,を,ADP,case,本
本,借りる,借りる,VERB,ROOT,借りる
本,本,本,NOUN,obj,共有
本,を,を,ADP,case,本
本,共有,共有,VERB,ROOT,共有
本,する,する,AUX,aux,共有
本,本,本,NOUN,obl,話す
本,に,に,ADP,case,本
本,つい,つく,VERB,fixed,に
本,て,て,SCONJ,fixed,に
本,話す,話す,VERB,ROOT,話す
本,本,本,NOUN,obj,推薦
本,を,を,ADP,case,本
本,推薦,推薦,VERB,ROOT,推薦
本,する,する,AUX,aux,推薦
本,本,本,NOUN,obj,贈る
本,を,を,ADP,case,本
本,贈る,贈る,VERB,ROOT,贈る
本,本,本,NOUN,obj,返す
本,を,を,ADP,case,本
本,返す,返す,VERB,ROOT,返す
本,一緒,一緒,NOUN,obl,読む
本,に,に,ADP,case,一緒
本,読む,読む,VERB,ROOT,読む
本,読書,読書,NOUN,compound,会
本,会,会,NOUN,obj,する
本,を,を,ADP,case,会
本,する,する,VERB,ROOT,する
本,感想,感想,NOUN,obj,交換
本,を,を,ADP,case,感想
本,交換,交換,VERB,ROOT,交換
本,する,する,AUX,aux,交換
本,本,本,NOUN,obj,見せる
本,を,を,ADP,case,本
本,見せる,見せる,VERB,ROOT,見せる
本,本,本,NOUN,obj,取り合う
本,を,を,ADP,case,本
本,取り合う,取り合う,VERB,ROOT,取り合う
本,本,本,NOUN,obl,議論
本,に,に,ADP,case,本
本,つい,つく,VERB,fixed,に
本,て,て,SCONJ,fixed,に
本,議論,議論,VERB,ROOT,議論
本,する,する,AUX,aux,議論
本,本,本,NOUN,obj,読む
本,を,を,ADP,case,本
本,読む,読む,VERB,acl,時間
本,時間,時間,NOUN,obj,作る
本,を,を,ADP,case,時間
本,作る,作る,VERB,ROOT,作る
本,本,本,NOUN,obj,プレゼント
本,を,を,ADP,case,本
本,プレゼント,プレゼント,VERB,ROOT,プレゼント
本,する,する,AUX,aux,プレゼント
本,本,本,NOUN,obj,交換
本,を,を,ADP,case,本
本,交換,交換,VERB,ROOT,交換
本,する,する,AUX,aux,交換
本,本,本,NOUN,obj,置き
本,を,を,ADP,case,本
本,置き,置く,VERB,ROOT,置き
本,忘れる,忘れる,VERB,advcl,置き
本,本,本,NOUN,obj,探し
本,を,を,ADP,case,本
本,探し,探す,VERB,ROOT,探し
本,合う,合う,VERB,advcl,探し
本,本,本,NOUN,obj,手渡す
本,を,を,ADP,case,本
本,手渡す,手渡す,VERB,ROOT,手渡す
本,本,本,NOUN,obj,分け合う
本,を,を,ADP,case,本
本,分け合う,分け合う,VERB,ROOT,分け合う
電子書籍,デバイス,デバイス,NOUN,obj,取る
電子書籍,を,を,ADP,case,デバイス
電子書籍,手,手,NOUN,obl,取る
電子書籍,に,に,ADP,case,手
電子書籍,取る,取る,VERB,ROOT,取る
電子書籍,電源,電源,NOUN,obj,入れる
電子書籍,を,を,ADP,case,電源
電子書籍,入れる,入れる,VERB,ROOT,入れる
電子書籍,アプリ,アプリ,NOUN,obj,開く
電子書籍,を,を,ADP,case,アプリ
電子書籍,開く,開く,VERB,ROOT,開く
電子書籍,電子,電子,NOUN,compound,書籍
電子書籍,書籍,書籍,NOUN,obj,選ぶ
電子書籍,を,を,ADP,case,書籍
電子書籍,選ぶ,選ぶ,VERB,ROOT,選ぶ
電子書籍,ページ,ページ,NOUN,obj,スワイプ
電子書籍,を,を,ADP,case,ページ
電子書籍,スワイプ,スワイプ,VERB,ROOT,スワイプ
電子書籍,する,する,AUX,aux,スワイプ
電子書籍,しおり,しおり,NOUN,obj,挿入
電子書籍,を,を,ADP,case,しおり
電子書籍,挿入,挿入,VERB,ROOT,挿入
電子書籍,する,する,AUX,aux,挿入
電子書籍,読む,読む,VERB,compound,ため
電子書籍,ため,ため,NOUN,nmod,姿勢
電子書籍,の,の,ADP,fixed,ため
電子書籍,姿勢,姿勢,NOUN,obj,とる
電子書籍,を,を,ADP,case,姿勢
電子書籍,とる,とる,VERB,ROOT,とる
電子書籍,画面,画面,NOUN,nmod,明る
電子書籍,の,の,ADP,case,画面
電子書籍,明る,明るい,ADJ,obj,調整
電子書籍,さ,さ,PART,mark,明る
電子書籍,を,を,ADP,case,明る
電子書籍,調整,調整,VERB,ROOT,調整
電子書籍,する,する,AUX,aux,調整
電子書籍,フォント,フォント,NOUN,compound,サイズ
電子書籍,サイズ,サイズ,NOUN,obj,変更
電子書籍,を,を,ADP,case,サイズ
電子書籍,変更,変更,VERB,ROOT,変更
電子書籍,する,する,AUX,aux,変更
電子書籍,辞書,辞書,NOUN,compound,機能
電子書籍,機能,機能,NOUN,obj,使う
電子書籍,を,を,ADP,case,機能
電子書籍,使う,使う,VERB,ROOT,使う
電子書籍,メモ,メモ,NOUN,obj,追加
電子書籍,を,を,ADP,case,メモ
電子書籍,追加,追加,VERB,ROOT,追加
電子書籍,する,する,AUX,aux,追加
電子書籍,ハイライト,ハイライト,NOUN,obj,引く
電子書籍,を,を,ADP,case,ハイライト
電子書籍,引く,引く,VERB,ROOT,引く
電子書籍,ページ,ページ,NOUN,obj,ブックマーク
電子書籍,を,を,ADP,case,ページ
電子書籍,ブックマーク,ブックマーク,VERB,ROOT,ブックマーク
電子書籍,する,する,AUX,aux,ブックマーク
電子書籍,再度,再度,ADV,advmod,開く
電子書籍,開く,開く,VERB,ROOT,開く
電子書籍,ノート,ノート,NOUN,obj,取る
電子書籍,を,を,ADP,case,ノート
電子書籍,取る,取る,VERB,ROOT,取る
電子書籍,画面,画面,NOUN,obj,スクロール
電子書籍,を,を,ADP,case,画面
電子書籍,スクロール,スクロール,VERB,ROOT,スクロール
電子書籍,する,する,AUX,aux,スクロール
電子書籍,一時停止,一時停止,NOUN,ROOT,一時停止
電子書籍,する,する,AUX,acl,一時停止
電子書籍,他,他,NOUN,nmod,アプリ
電子書籍,の,の,ADP,case,他
電子書籍,アプリ,アプリ,NOUN,obj,開く
電子書籍,を,を,ADP,case,アプリ
電子書籍,開く,開く,VERB,ROOT,開く
電子書籍,デバイス,デバイス,NOUN,obj,充電
電子書籍,を,を,ADP,case,デバイス
電子書籍,充電,充電,VERB,ROOT,充電
電子書籍,する,する,AUX,aux,充電
電子書籍,デバイス,デバイス,NOUN,obj,シャットダウン
電子書籍,を,を,ADP,case,デバイス
電子書籍,シャットダウン,シャットダウン,VERB,ROOT,シャットダウン
電子書籍,する,する,AUX,aux,シャットダウン
電子書籍,読書,読書,NOUN,compound,灯
電子書籍,灯,灯,NOUN,obl,照らす
電子書籍,で,で,ADP,case,灯
電子書籍,照らす,照らす,VERB,ROOT,照らす
電子書籍,眼鏡,眼鏡,NOUN,obj,かける
電子書籍,を,を,ADP,case,眼鏡
電子書籍,かける,かける,VERB,ROOT,かける
電子書籍,コーヒー,コーヒー,NOUN,obj,飲む
電子書籍,を,を,ADP,case,コーヒー
電子書籍,飲む,飲む,VERB,ROOT,飲む
電子書籍,音楽,音楽,NOUN,obj,聴く
電子書籍,を,を,ADP,case,音楽
電子書籍,聴く,聴く,VERB,ROOT,聴く
電子書籍,ブランケット,ブランケット,NOUN,obj,かける
電子書籍,を,を,ADP,case,ブランケット
電子書籍,かける,かける,VERB,ROOT,かける
電子書籍,椅子,椅子,NOUN,obl,座る
電子書籍,に,に,ADP,case,椅子
電子書籍,座る,座る,VERB,ROOT,座る
電子書籍,ソファ,ソファ,NOUN,obl,くつろぐ
電子書籍,で,で,ADP,case,ソファ
電子書籍,くつろぐ,くつろぐ,VERB,ROOT,くつろぐ
電子書籍,メモ帳,メモ帳,NOUN,obl,取る
電子書籍,に,に,ADP,case,メモ帳
電子書籍,メモ,メモ,NOUN,obj,取る
電子書籍,を,を,ADP,case,メモ
電子書籍,取る,取る,VERB,ROOT,取る
電子書籍,ペン,ペン,NOUN,obj,使っ
電子書籍,を,を,ADP,case,ペン
電子書籍,使っ,使う,VERB,advcl,取る
電子書籍,て,て,SCONJ,mark,使っ
電子書籍,ノート,ノート,NOUN,obj,取る
電子書籍,を,を,ADP,case,ノート
電子書籍,取る,取る,VERB,ROOT,取る
電子書籍,スマホ,スマホ,NOUN,obl,する
電子書籍,で,で,ADP,case,スマホ
電子書籍,調べ物,調べ物,NOUN,obj,する
電子書籍,を,を,ADP,case,調べ物
電子書籍,する,する,VERB,ROOT,する
電子書籍,タブレット,タブレット,NOUN,obl,読む
電子書籍,で,で,ADP,case,タブレット
電子書籍,関連,関連,NOUN,compound,情報
電子書籍,情報,情報,NOUN,obj,読む
電子書籍,を,を,ADP,case,情報
電子書籍,読む,読む,VERB,ROOT,読む
電子書籍,時計,時計,NOUN,obj,確認
電子書籍,を,を,ADP,case,時計
電子書籍,確認,確認,VERB,ROOT,確認
電子書籍,する,する,AUX,aux,確認
電子書籍,スナック,スナック,NOUN,obj,食べる
電子書籍,を,を,ADP,case,スナック
電子書籍,食べる,食べる,VERB,ROOT,食べる
電子書籍,デバイス,デバイス,NOUN,compound,カバー
電子書籍,カバー,カバー,NOUN,obj,かける
電子書籍,を,を,ADP,case,カバー
電子書籍,かける,かける,VERB,ROOT,かける
電子書籍,デバイス,デバイス,NOUN,compound,スタンド
電子書籍,スタンド,スタンド,NOUN,obj,使用
電子書籍,を,を,ADP,case,スタンド
電子書籍,使用,使用,VERB,ROOT,使用
電子書籍,する,する,AUX,aux,使用
電子書籍,しおり,しおり,NOUN,obj,挿入
電子書籍,を,を,ADP,case,しおり
電子書籍,挿入,挿入,VERB,ROOT,挿入
電子書籍,する,する,AUX,aux,挿入
電子書籍,枕,枕,NOUN,obj,使っ
電子書籍,を,を,ADP,case,枕
電子書籍,使っ,使う,VERB,acl,寝転がる
電子書籍,て,て,SCONJ,mark,使っ
電子書籍,寝転がる,寝転がる,NOUN,ROOT,寝転がる
電子書籍,ブック,ブック,NOUN,compound,ライト
電子書籍,ライト,ライト,NOUN,obj,使う
電子書籍,を,を,ADP,case,ライト
電子書籍,使う,使う,VERB,ROOT,使う
電子書籍,カーテン,カーテン,NOUN,obj,閉める
電子書籍,を,を,ADP,case,カーテン
電子書籍,閉める,閉める,VERB,ROOT,閉める
電子書籍,イヤホン,イヤホン,NOUN,obj,使う
電子書籍,を,を,ADP,case,イヤホン
電子書籍,使う,使う,VERB,ROOT,使う
電子書籍,デバイス,デバイス,NOUN,obj,積み上げ
電子書籍,を,を,ADP,case,デバイス
電子書籍,積み上げ,積み上げる,VERB,advcl,作る
電子書籍,て,て,SCONJ,mark,積み上げ
電子書籍,タワー,タワー,NOUN,obj,作る
電子書籍,を,を,ADP,case,タワー
電子書籍,作る,作る,VERB,ROOT,作る
電子書籍,デバイス,デバイス,NOUN,obl,する
電子書籍,で,で,ADP,case,デバイス
電子書籍,ドミノ,ドミノ,NOUN,obj,する
電子書籍,を,を,ADP,case,ドミノ
電子書籍,する,する,VERB,ROOT,する
電子書籍,スクリーンショット,スクリーンショット,PROPN,obj,撮る
電子書籍,を,を,ADP,case,スクリーンショット
電子書籍,撮る,撮る,VERB,ROOT,撮る
電子書籍,デバイス,デバイス,NOUN,obj,隠す
電子書籍,を,を,ADP,case,デバイス
電子書籍,隠す,隠す,VERB,ROOT,隠す
電子書籍,デバイス,デバイス,NOUN,obj,開い
